dataset,metric,model,value
m5,mase,SeasonalNaive,1.8674323634298993
m5,mase,StatisticalEnsemble,1.638152191603833
m5,scaled_crps,SeasonalNaive,1.4574002623684272
m5,scaled_crps,StatisticalEnsemble,0.5163249612630462
m5,smape,SeasonalNaive,0.40357140598445107
m5,smape,StatisticalEnsemble,0.7164228919710989
m5,time,SeasonalNaive,29.344236135482788
m5,time,StatisticalEnsemble,15082.48518037796
dominick,mase,SeasonalNaive,0.8275396708993014
dominick,mase,StatisticalEnsemble,0.8480031538431272
dominick,scaled_crps,SeasonalNaive,2.210459061912306
dominick,scaled_crps,StatisticalEnsemble,0.5288209674678412
dominick,smape,SeasonalNaive,0.16016363526707927
dominick,smape,StatisticalEnsemble,0.7823167704484896
dominick,time,SeasonalNaive,12.37143611907959
dominick,time,StatisticalEnsemble,874.0449843406677
nn5_daily_without_missing,mase,SeasonalNaive,1.0112834698529345
nn5_daily_without_missing,mase,StatisticalEnsemble,0.8423753193786091
nn5_daily_without_missing,scaled_crps,SeasonalNaive,0.5351702879273849
nn5_daily_without_missing,scaled_crps,StatisticalEnsemble,0.14553736570775094
nn5_daily_without_missing,smape,SeasonalNaive,0.13235231518183066
nn5_daily_without_missing,smape,StatisticalEnsemble,0.10488079515342492
nn5_daily_without_missing,time,SeasonalNaive,0.8123540878295898
nn5_daily_without_missing,time,StatisticalEnsemble,38.4502534866333
nn5_weekly,mase,SeasonalNaive,1.062848269026432
nn5_weekly,mase,StatisticalEnsemble,0.9735932153741834
nn5_weekly,scaled_crps,SeasonalNaive,0.25582228822873815
nn5_weekly,scaled_crps,StatisticalEnsemble,0.07720804470616706
nn5_weekly,smape,SeasonalNaive,0.06633929067482891
nn5_weekly,smape,StatisticalEnsemble,0.06025986107271241
nn5_weekly,time,SeasonalNaive,0.8171298503875732
nn5_weekly,time,StatisticalEnsemble,5.758360147476196
traffic,mase,SeasonalNaive,1.7853234976926748
traffic,mase,StatisticalEnsemble,1.0892706069210114
traffic,scaled_crps,SeasonalNaive,0.41143591353383
traffic,scaled_crps,StatisticalEnsemble,0.3414031320024622
traffic,smape,SeasonalNaive,0.2438530051030199
traffic,smape,StatisticalEnsemble,0.16081715430023405
traffic,time,SeasonalNaive,3.057039260864258
traffic,time,StatisticalEnsemble,4173.05211687088
weather,mase,SeasonalNaive,0.754604010525011
weather,mase,StatisticalEnsemble,0.6914725865126918
weather,scaled_crps,SeasonalNaive,0.7023248754552787
weather,scaled_crps,StatisticalEnsemble,0.20146415997944236
weather,smape,SeasonalNaive,0.21257362636712376
weather,smape,StatisticalEnsemble,0.31372190193744925
weather,time,SeasonalNaive,22.064918279647827
weather,time,StatisticalEnsemble,1108.4931182861328
australian_electricity_demand,mase,SeasonalNaive,1.3403993825206266
australian_electricity_demand,mase,StatisticalEnsemble,1.1151674787713628
australian_electricity_demand,scaled_crps,SeasonalNaive,0.09814662393134205
australian_electricity_demand,scaled_crps,StatisticalEnsemble,0.05735046591017824
australian_electricity_demand,smape,SeasonalNaive,0.058815216824657776
australian_electricity_demand,smape,StatisticalEnsemble,0.05083634433366544
australian_electricity_demand,time,SeasonalNaive,0.3602612018585205
australian_electricity_demand,time,StatisticalEnsemble,2716.8693885803223
car_parts_without_missing,mase,SeasonalNaive,1.1201381265856145
car_parts_without_missing,mase,StatisticalEnsemble,1.050660105202646
car_parts_without_missing,scaled_crps,SeasonalNaive,2.2252592727461242
car_parts_without_missing,scaled_crps,StatisticalEnsemble,1.1320439488874523
car_parts_without_missing,smape,SeasonalNaive,0.31018504435473626
car_parts_without_missing,smape,StatisticalEnsemble,0.8966779513784662
car_parts_without_missing,time,SeasonalNaive,0.9146387577056884
car_parts_without_missing,time,StatisticalEnsemble,37.927063941955566
cif_2016,mase,SeasonalNaive,1.2892906338147911
cif_2016,mase,StatisticalEnsemble,0.9022365251221355
cif_2016,scaled_crps,SeasonalNaive,0.0562778589590996
cif_2016,scaled_crps,StatisticalEnsemble,0.020951705353389735
cif_2016,smape,SeasonalNaive,0.094358553312353
cif_2016,smape,StatisticalEnsemble,0.05749614987192558
cif_2016,time,SeasonalNaive,0.6034519672393799
cif_2016,time,StatisticalEnsemble,9.755268335342407
covid_deaths,mase,SeasonalNaive,7.7623797482537915
covid_deaths,mase,StatisticalEnsemble,5.247590431278719
covid_deaths,scaled_crps,SeasonalNaive,0.11604983030613081
covid_deaths,scaled_crps,StatisticalEnsemble,0.024490948114393132
covid_deaths,smape,SeasonalNaive,0.09313273813541141
covid_deaths,smape,StatisticalEnsemble,0.053916857464500395
covid_deaths,time,SeasonalNaive,0.8153104782104492
covid_deaths,time,StatisticalEnsemble,22.0314781665802
ercot,mase,SeasonalNaive,0.7613353868080769
ercot,mase,StatisticalEnsemble,1.3562494003539405
ercot,scaled_crps,SeasonalNaive,0.03946121626919911
ercot,scaled_crps,StatisticalEnsemble,0.034150258315336315
ercot,smape,SeasonalNaive,0.015630707775037007
ercot,smape,StatisticalEnsemble,0.026523641327514176
ercot,time,SeasonalNaive,0.3966584205627441
ercot,time,StatisticalEnsemble,390.5005609989166
ett_small_15min,mase,SeasonalNaive,0.7677330344383062
ett_small_15min,mase,StatisticalEnsemble,0.6382274420888457
ett_small_15min,scaled_crps,SeasonalNaive,0.1430347714870558
ett_small_15min,scaled_crps,StatisticalEnsemble,0.08269271740545785
ett_small_15min,smape,SeasonalNaive,0.09459814128105122
ett_small_15min,smape,StatisticalEnsemble,0.10039187891984028
ett_small_15min,time,SeasonalNaive,0.4571559429168701
ett_small_15min,time,StatisticalEnsemble,5034.763110637665
ett_small_1h,mase,SeasonalNaive,0.9316203232327729
ett_small_1h,mase,StatisticalEnsemble,0.8519611234196047
